,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
1559,Hyundai,Creta SX Plus 1.6 AT CRDI,1190000,2018,76000,Diesel,Automatic,Chandigarh,White,First,Individual,1582,126,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
926,Hyundai,Creta SX Plus 1.6 CRDI Dual Tone,775000,2015,82000,Diesel,Manual,Raipur,Red,Second,Individual,1582,126,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
858,Hyundai,Elantra 1.6 SX AT,625000,2014,80000,Diesel,Automatic,Delhi,White,First,Individual,1582,126,259 Nm @ 1900 rpm,FWD,4530,1775,1470,5,56
1156,Hyundai,Elantra 1.8 SX AT,545000,2013,63000,Petrol,Automatic,Mumbai,Silver,First,Individual,1797,147,177 Nm @ 4700 rpm,FWD,4530,1775,1470,5,56
347,Hyundai,Elantra 1.8 SX MT,645000,2013,17000,Petrol,Manual,Pune,White,First,Individual,1797,147,177 Nm @ 4700 rpm,FWD,4530,1775,1470,5,56
651,Hyundai,Elantra 1.8 SX MT,700000,2014,64000,Petrol,Manual,Dehradun,White,First,Individual,1797,147,177 Nm @ 4700 rpm,FWD,4530,1775,1470,5,56
1751,Hyundai,Elantra 2.0 SX (O) AT,1465000,2019,22000,Petrol,Automatic,Mumbai,Silver,Second,Individual,1999,150,192 Nm @ 4000 rpm,FWD,4570,1800,1465,5,50
1084,Hyundai,Elantra SX (O) 2.0 AT,1175000,2017,24000,Petrol,Automatic,Mumbai,White,First,Individual,1999,150,192 Nm @ 4000 rpm,FWD,4620,1800,1465,5,50
121,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1245000,2021,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998,118,172 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
131,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1050000,2020,16282,Petrol,Automatic,Pune,White,First,Individual,998,118,172 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
1650,Hyundai,Elite i20 Asta 1.0 Turbo IMT Dual Tone,1130000,2020,12905,Petrol,Manual,Bangalore,White,First,Individual,998,118,172 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
28,Hyundai,Elite i20 Asta 1.2,551000,2015,47752,Petrol,Manual,Mumbai,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
44,Hyundai,Elite i20 Asta 1.2,525000,2015,68397,Petrol,Manual,Patna,Gold,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
122,Hyundai,Elite i20 Asta 1.2,549000,2015,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
524,Hyundai,Elite i20 Asta 1.2,625000,2017,42000,Petrol,Manual,Patna,Silver,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
984,Hyundai,Elite i20 Asta 1.2,675000,2017,48591,Petrol,Manual,Hyderabad,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1625,Hyundai,Elite i20 Asta 1.2,550000,2015,33000,Petrol,Manual,Mumbai,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
419,Hyundai,Elite i20 Asta 1.2 (O) [2016],779000,2016,9889,Petrol,Manual,Bangalore,Blue,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1072,Hyundai,Elite i20 Asta 1.2 (O) [2016],690000,2017,17268,Petrol,Manual,Nashik,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1562,Hyundai,Elite i20 Asta 1.2 (O) [2016],725000,2017,36597,Petrol,Manual,Hyderabad,Red,Second,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1720,Hyundai,Elite i20 Asta 1.2 [2016-2017],650000,2016,100000,Petrol,Manual,Hyderabad,Grey,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
265,Hyundai,Elite i20 Asta 1.2 AT,750000,2018,33647,Petrol,Automatic,Mumbai,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,40
1192,Hyundai,Elite i20 Asta 1.2 IVT,1075000,2021,12020,Petrol,Automatic,Mumbai,White,First,Individual,1197,87,115 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
170,Hyundai,Elite i20 Asta 1.4 (O) CRDi,560000,2016,75210,Diesel,Manual,Ahmedabad,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,40
716,Hyundai,Elite i20 Asta 1.4 (O) CRDi,560000,2016,80000,Diesel,Manual,Ambala Cantt,White,Second,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,40
1847,Hyundai,Elite i20 Asta 1.4 CRDI,690000,2017,65000,Diesel,Manual,Ahmedabad,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
570,Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],535000,2016,58339,Diesel,Manual,Panchkula,Grey,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
1513,Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],819999,2020,30000,Diesel,Manual,Ahmedabad,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
97,Hyundai,Elite i20 Magna 1.2,525000,2015,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
182,Hyundai,Elite i20 Magna 1.2,575000,2015,67000,Petrol,Manual,Hyderabad,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1190,Hyundai,Elite i20 Magna 1.2 [2016-2017],585000,2017,47000,Petrol,Manual,Delhi,Grey,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1349,Hyundai,Elite i20 Magna 1.2 [2016-2017],625000,2019,31000,Petrol,Manual,Kanpur,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
844,Hyundai,Elite i20 Magna 1.4 CRDI [2016-2017],650000,2016,61181,Diesel,Manual,Jaipur,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
849,Hyundai,Elite i20 Magna Executive 1.2,609000,2018,42601,Petrol,Manual,Udupi,Blue,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1654,Hyundai,Elite i20 Magna Executive 1.2,595000,2019,48000,Petrol,Manual,Delhi,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,40
10,Hyundai,Elite i20 Sportz 1.2,591000,2017,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
882,Hyundai,Elite i20 Sportz 1.2,625000,2018,23000,Petrol,Manual,Delhi,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,40
101,Hyundai,Elite i20 Sportz 1.2 (O),611000,2017,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1023,Hyundai,Elite i20 Sportz 1.2 (O),650000,2020,58100,Petrol,Manual,Lucknow,White,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1955,Hyundai,Elite i20 Sportz 1.2 (O),660000,2018,9000,Petrol,Manual,Mumbai,Grey,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1011,Hyundai,Elite i20 Sportz 1.2 [2016-2017],695000,2019,42678,Petrol,Manual,Mumbai,Blue,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
1113,Hyundai,Elite i20 Sportz 1.2 [2016-2017],645000,2019,35000,Petrol,Manual,Mumbai,Grey,First,Individual,1197,82,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
626,Hyundai,Elite i20 Sportz 1.2 IVT,795000,2022,4000,Petrol,Automatic,Kanpur,White,First,Individual,1197,87,115 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
1203,Hyundai,Elite i20 Sportz 1.2 IVT,894999,2021,25000,Petrol,Automatic,Mumbai,White,First,Individual,1197,87,115 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
514,Hyundai,Elite i20 Sportz 1.2 MT,775000,2020,39000,Petrol,Manual,Mumbai,White,First,Individual,1197,82,115 Nm @ 4200 rpm,FWD,3995,1775,1505,5,37
1497,Hyundai,Elite i20 Sportz 1.2 MT,700000,2020,25000,Petrol,Manual,Patna,White,First,Individual,1197,82,115 Nm @ 4200 rpm,FWD,3995,1775,1505,5,37
345,Hyundai,Elite i20 Sportz 1.4,561000,2015,61000,Diesel,Manual,Ahmedabad,Silver,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
758,Hyundai,Elite i20 Sportz 1.4,565000,2015,65000,Diesel,Manual,Ludhiana,White,Second,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
596,Hyundai,Elite i20 Sportz 1.4 CRDI,611000,2017,65000,Diesel,Manual,Kheda,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
1211,Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],575000,2016,38000,Diesel,Manual,Patna,Silver,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
1424,Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],625000,2016,72114,Diesel,Manual,Jalandhar,White,First,Individual,1396,89,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
71,Hyundai,Elite i20 Sportz 1.5 MT Diesel,825000,2021,43000,Diesel,Manual,Agra,White,First,Individual,1493,99,240 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
411,Hyundai,Eon 1.0 Kappa Magna + [2014-2016],315000,2013,45000,Petrol,Manual,Chennai,Grey,First,Individual,998,68,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
662,Hyundai,Eon 1.0 Kappa Magna + [2014-2016],275000,2012,30000,Petrol,Manual,Indore,White,First,Individual,998,68,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
1105,Hyundai,Eon 1.0 Kappa Magna + [2014-2016],240000,2013,64000,Petrol,Manual,Faizabad,White,First,Individual,998,68,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
469,Hyundai,Eon 1.0 Kappa Magna AirBag,360000,2015,16205,Petrol,Manual,Pune,White,First,Individual,998,68,94 Nm @ 3500 rpm,FWD,3515,1550,1510,5,32
1401,Hyundai,Eon D-Lite +,250000,2014,25000,Petrol,Manual,Meerut,White,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
2055,Hyundai,Eon D-Lite +,275000,2014,83000,Petrol,Manual,Ahmedabad,White,Second,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
517,Hyundai,Eon Era +,300000,2018,51000,Petrol,Manual,Kanpur,White,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
821,Hyundai,Eon Era +,290000,2018,70000,Petrol,Manual,Kheda,White,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
986,Hyundai,Eon Era +,210000,2014,48000,Petrol,Manual,Lucknow,Red,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
1931,Hyundai,Eon Era +,225000,2012,56000,Petrol,Manual,Meerut,Grey,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
618,Hyundai,Eon Magna [2011-2012],190000,2013,63000,Petrol,Manual,Ludhiana,White,Second,Individual,814,56,75@4000,,3495,1550,1500,5,32
1366,Hyundai,Eon Magna [2011-2012],185000,2012,55700,Petrol,Manual,Jamshedpur,Silver,Second,Individual,814,56,75@4000,,3495,1550,1500,5,32
1343,Hyundai,Eon Magna +,405000,2018,34000,Petrol,Manual,Hyderabad,Red,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
1621,Hyundai,Eon Magna +,325000,2017,56000,Petrol,Manual,Dehradun,Silver,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
1120,Hyundai,Eon Sportz,215000,2012,20000,Petrol,Manual,Mumbai,Grey,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
1885,Hyundai,Eon Sportz,250000,2013,82461,Petrol,Manual,Hyderabad,Red,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
2027,Hyundai,Eon Sportz,275000,2013,34000,Petrol,Manual,Pune,Blue,First,Individual,814,55,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
2048,Hyundai,Grand i10 Asta 1.1 CRDi [2013-2016],345000,2016,71000,Diesel,Manual,Kanpur,White,Second,Individual,1120,70,160 Nm @ 1500 rpm,FWD,3765,1660,1520,5,43
720,Hyundai,Grand i10 Asta 1.2 Kappa VTVT,495000,2017,47000,Petrol,Manual,Delhi,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
863,Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],495000,2017,30000,Petrol,Manual,Delhi,Orange,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
822,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],390000,2014,57000,Petrol,Manual,Delhi,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
953,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],765000,2021,18105,Petrol,Manual,Bangalore,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1382,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],550000,2018,56000,Petrol,Manual,Hyderabad,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1406,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],409999,2014,55000,Petrol,Manual,Delhi,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1499,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],380000,2015,55660,Petrol,Manual,Raipur,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1835,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],475000,2016,16630,Petrol,Manual,Mumbai,Maroon,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1314,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],650000,2017,49422,Petrol,Automatic,Pune,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
65,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],455000,2015,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197,79,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
102,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],475000,2014,61866,Petrol,Automatic,Thane,White,First,Individual,1197,79,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
471,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],565000,2016,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,1197,79,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
737,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],436000,2014,37959,Petrol,Automatic,Delhi,White,Second,Individual,1197,79,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
136,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],484999,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
143,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],459999,2016,61223,Petrol,Manual,Kanpur,White,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
268,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],569000,2018,57847,Petrol,Manual,Bangalore,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
911,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],545000,2019,28000,Petrol,Manual,Kharar,White,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
961,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],495000,2018,45000,Petrol,Manual,Mumbai,White,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1580,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],390000,2014,46000,Petrol,Manual,Pune,Orange,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1791,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],399000,2018,38000,Petrol,Manual,Kolkata,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1351,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2016-2017],550000,2015,58078,Petrol,Manual,Mysore,Silver,Second,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
254,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],445000,2016,22402,Petrol,Manual,Mumbai,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
440,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],450000,2016,53300,Petrol,Manual,Pune,Maroon,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1110,Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,549000,2018,53000,Petrol,Automatic,Hyderabad,White,Second,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1329,Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,650000,2019,15000,Petrol,Automatic,Chandigarh,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1554,Hyundai,Grand i10 Magna U2 1.2 CRDi,335000,2016,64000,Diesel,Manual,Bulandshahar,White,Second,Individual,1186,74,190 Nm @ 1750 rpm,FWD,3765,1660,1520,5,43
344,Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,590000,2020,74000,Petrol,Manual,Ahmedabad,White,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
215,Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,715000,2020,17000,Petrol,Automatic,Bangalore,Silver,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
1896,Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT,755000,2022,2272,Petrol,Manual,Hyderabad,White,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
379,Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,695000,2020,18000,CNG,Manual,Ghaziabad,Green,First,Individual,1197,68,95 Nm @ 4000 rpm,FWD,3805,1680,1520,5,60
1504,Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,725000,2021,45000,CNG,Manual,Ludhiana,Grey,First,Individual,1197,68,95 Nm @ 4000 rpm,FWD,3805,1680,1520,5,60
607,Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,599000,2020,35000,Petrol,Automatic,Kolkata,Silver,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
847,Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,685000,2021,9232,Petrol,Automatic,Mumbai,Blue,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
1872,Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,825000,2021,6600,Petrol,Automatic,Hyderabad,Blue,First,Individual,1197,82,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
603,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,649000,2020,52236,Petrol,Manual,Udupi,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1138,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,365000,2014,76000,Petrol,Manual,Ernakulam,White,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1555,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,649000,2020,52236,Petrol,Manual,Mangalore,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
167,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],550000,2017,61400,Petrol,Manual,Aurangabad,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
625,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,2015,48000,Petrol,Manual,Delhi,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1121,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],595000,2019,25000,Petrol,Manual,Hyderabad,Silver,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1635,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],560000,2017,29000,Petrol,Manual,Bangalore,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
126,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],375000,2015,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1764,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],450000,2016,47000,Petrol,Manual,Dehradun,Grey,Second,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
768,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],650000,2020,37003,Petrol,Manual,Bangalore,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1985,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],480000,2019,10265,Petrol,Manual,Hyderabad,Grey,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
1999,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],400000,2017,35000,Petrol,Manual,Kolkata,Blue,First,Individual,1197,81,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
432,Hyundai,Grand i10 Sportz U2 1.2 CRDi,459999,2016,82844,Diesel,Manual,Hyderabad,Grey,First,Individual,1186,74,190 Nm @ 1750 rpm,FWD,3765,1660,1520,5,43
713,Hyundai,i10 1.1L iRDE ERA Special Edition,254999,2012,18954,Petrol,Manual,Patna,White,First,Individual,1086,68,99.081 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
1437,Hyundai,i10 Asta 1.2 AT Kappa2 with Sunroof,380000,2013,57000,Petrol,Automatic,Kanpur,White,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
688,Hyundai,i10 Asta 1.2 AT with Sunroof,325000,2013,46721,Petrol,Automatic,Thane,Silver,Second,Individual,1197,80,111@4000,FWD,3565,1595,1550,5,35
1701,Hyundai,i10 Era,130000,2009,59000,Petrol,Manual,Kanpur,Silver,Second,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
1590,Hyundai,i10 Era 1.1 iRDE2 [2010-2017],225000,2012,26000,Petrol,Manual,Dehradun,White,First,Individual,1086,68,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
1698,Hyundai,i10 Era 1.1 iRDE2 [2010-2017],250000,2012,48568,Petrol,Manual,Mumbai,White,First,Individual,1086,68,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
1293,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
1676,Hyundai,i10 Magna,175000,2009,65000,Petrol,Manual,Jamshedpur,Blue,Second,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
1892,Hyundai,i10 Magna,170000,2009,135797,Petrol,Manual,Lucknow,Silver,Second,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
1949,Hyundai,i10 Magna,175000,2009,23000,Petrol,Manual,Mumbai,Red,First,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
1517,Hyundai,i10 Magna (O),150000,2008,62000,Petrol,Manual,Mumbai,Red,Second,Individual,1086,67,99@2800,FWD,3565,1595,1550,5,35
921,Hyundai,i10 Magna 1.1 LPG,225000,2014,47721,LPG,Manual,Patna,Red,First,Individual,1086,68,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
1489,Hyundai,i10 Magna 1.2,165000,2009,55000,Petrol,Manual,Lucknow,White,First,Individual,1197,80,111@4000,FWD,3565,1595,1550,5,35
2,Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
894,Hyundai,i10 Magna 1.2 Kappa2,325000,2013,15780,Petrol,Manual,Thane,Red,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1060,Hyundai,i10 Magna 1.2 Kappa2,390000,2015,49123,Petrol,Manual,Patna,White,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1255,Hyundai,i10 Magna 1.2 Kappa2,250000,2012,54556,Petrol,Manual,Lucknow,White,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1408,Hyundai,i10 Magna 1.2 Kappa2,270000,2012,41200,Petrol,Manual,Mumbai,Silver,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1412,Hyundai,i10 Magna 1.2 Kappa2,350000,2011,21000,Petrol,Manual,Hyderabad,Red,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1512,Hyundai,i10 Magna 1.2 Kappa2,250000,2011,53000,Petrol,Manual,Kanpur,White,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
1655,Hyundai,i10 Magna 1.2 Kappa2,290000,2011,91000,Petrol,Manual,Ahmedabad,White,First,Individual,1197,79,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
286,Hyundai,i10 Sportz 1.2,220000,2009,126535,Petrol,Manual,Hyderabad,Gold,First,Individual,1197,80,111@4000,FWD,3565,1595,1550,5,35
522,Hyundai,i10 Sportz 1.2,270000,2010,86000,Petrol,Manual,Chennai,Grey,Second,Individual,1197,80,111@4000,FWD,3565,1595,1550,5,35
